,Time,neg,neu,pos,compound,Score
0,2020-12-13,0.0,1.0,0.0,0.0,0
1,2020-12-13,0.0,1.0,0.0,0.0,0
2,2020-12-13,0.0,1.0,0.0,0.0,0
3,2020-12-13,0.136,0.728,0.136,0.25,1
4,2020-12-13,0.136,0.728,0.136,0.25,1
5,2020-12-13,0.136,0.728,0.136,0.25,1
6,2020-12-13,0.0,1.0,0.0,0.0,0
7,2020-12-13,0.049,0.896,0.055,0.0772,1
8,2020-12-13,0.0,1.0,0.0,0.0,0
9,2020-12-13,0.0,1.0,0.0,0.0,0
10,2020-12-13,0.0,1.0,0.0,0.0,0
11,2020-12-13,0.213,0.787,0.0,-0.4019,-1
12,2020-12-12,0.065,0.935,0.0,-0.0644,-1
13,2020-12-12,0.065,0.935,0.0,-0.0644,-1
14,2020-12-12,0.0,0.905,0.095,0.2263,1
15,2020-12-12,0.0,0.843,0.157,0.4215,1
16,2020-12-12,0.0,0.927,0.073,0.6037,1
17,2020-12-12,0.106,0.894,0.0,-0.4939,-1
18,2020-12-12,0.064,0.869,0.067,0.0387,1
19,2020-12-12,0.0,1.0,0.0,0.0,0
20,2020-12-12,0.0,1.0,0.0,0.0,0
21,2020-12-12,0.0,1.0,0.0,0.0,0
22,2020-12-12,0.0,1.0,0.0,0.0,0
23,2020-12-12,0.0,0.778,0.222,0.4824,1
24,2020-12-12,0.0,0.778,0.222,0.4824,1
25,2020-12-12,0.0,1.0,0.0,0.0,0
26,2020-12-12,0.0,1.0,0.0,0.0,0
27,2020-12-12,0.0,1.0,0.0,0.0,0
28,2020-12-12,0.0,1.0,0.0,0.0,0
29,2020-12-12,0.0,1.0,0.0,0.0,0
30,2020-12-12,0.0,0.87,0.13,0.4574,1
31,2020-12-12,0.0,1.0,0.0,0.0,0
32,2020-12-12,0.0,1.0,0.0,0.0,0
33,2020-12-12,0.0,0.957,0.043,0.2023,1
34,2020-12-11,0.0,1.0,0.0,0.0,0
35,2020-12-11,0.0,0.942,0.058,0.2263,1
36,2020-12-11,0.0,0.905,0.095,0.2263,1
37,2020-12-11,0.106,0.894,0.0,-0.4939,-1
38,2020-12-11,0.0,0.708,0.292,0.8519,1
39,2020-12-11,0.0,0.708,0.292,0.8519,1
40,2020-12-11,0.0,0.708,0.292,0.8519,1
41,2020-12-11,0.0,0.877,0.123,0.5983,1
42,2020-12-11,0.0,1.0,0.0,0.0,0
43,2020-12-11,0.0,0.859,0.141,0.6597,1
44,2020-12-11,0.0,1.0,0.0,0.0,0
45,2020-12-11,0.0,1.0,0.0,0.0,0
46,2020-12-11,0.088,0.809,0.103,0.3818,1
47,2020-12-11,0.0,1.0,0.0,0.0,0
48,2020-12-11,0.062,0.865,0.073,0.3818,1
49,2020-12-11,0.048,0.695,0.258,0.8883,1
50,2020-12-11,0.0,1.0,0.0,0.0,0
51,2020-12-11,0.0,0.858,0.142,0.5106,1
52,2020-12-11,0.109,0.796,0.095,-0.0772,-1
53,2020-12-11,0.0,1.0,0.0,0.0,0
54,2020-12-11,0.0,0.881,0.119,0.2263,1
55,2020-12-11,0.0,0.881,0.119,0.2263,1
56,2020-12-11,0.102,0.814,0.084,-0.1531,-1
57,2020-12-11,0.0,0.942,0.058,0.2263,1
58,2020-12-11,0.0,0.921,0.079,0.2263,1
59,2020-12-11,0.0,1.0,0.0,0.0,0
60,2020-12-11,0.0,1.0,0.0,0.0,0
61,2020-12-11,0.0,0.825,0.175,0.6705,1
62,2020-12-11,0.0,0.8,0.2,0.3612,1
63,2020-12-11,0.0,1.0,0.0,0.0,0
64,2020-12-11,0.0,0.822,0.178,0.3818,1
65,2020-12-11,0.0,1.0,0.0,0.0,0
66,2020-12-11,0.0,0.8,0.2,0.6705,1
67,2020-12-11,0.074,0.926,0.0,-0.34,-1
68,2020-12-11,0.0,1.0,0.0,0.0,0
69,2020-12-11,0.08,0.92,0.0,-0.4019,-1
70,2020-12-11,0.0,1.0,0.0,0.0,0
71,2020-12-11,0.0,0.942,0.058,0.2263,1
72,2020-12-11,0.0,0.8,0.2,0.6705,1
73,2020-12-11,0.0,1.0,0.0,0.0,0
74,2020-12-11,0.063,0.896,0.04,-0.2577,-1
75,2020-12-11,0.0,0.73,0.27,0.7506,1
76,2020-12-10,0.0,0.95,0.05,0.2263,1
77,2020-12-10,0.0,1.0,0.0,0.0,0
78,2020-12-10,0.0,1.0,0.0,0.0,0
79,2020-12-10,0.0,1.0,0.0,0.0,0
80,2020-12-10,0.0,0.95,0.05,0.2263,1
81,2020-12-10,0.106,0.894,0.0,-0.4939,-1
82,2020-12-10,0.0,0.68,0.32,0.9709,1
83,2020-12-10,0.0,0.68,0.32,0.9709,1
84,2020-12-10,0.0,0.894,0.106,0.2263,1
85,2020-12-10,0.069,0.931,0.0,-0.25,-1
86,2020-12-10,0.0,0.857,0.143,0.4588,1
87,2020-12-10,0.059,0.941,0.0,-0.3612,-1
88,2020-12-10,0.074,0.732,0.194,0.6721,1
89,2020-12-10,0.0,1.0,0.0,0.0,0
90,2020-12-10,0.059,0.941,0.0,-0.3612,-1
91,2020-12-10,0.116,0.713,0.171,0.1406,1
92,2020-12-10,0.0,0.962,0.038,0.2263,1
93,2020-12-10,0.0,1.0,0.0,0.0,0
94,2020-12-10,0.076,0.808,0.116,0.2124,1
95,2020-12-10,0.0,1.0,0.0,0.0,0
96,2020-12-10,0.0,0.826,0.174,0.8516,1
97,2020-12-10,0.0,1.0,0.0,0.0,0
98,2020-12-10,0.0,1.0,0.0,0.0,0
99,2020-12-10,0.0,0.748,0.252,0.7239,1
100,2020-12-10,0.0,1.0,0.0,0.0,0
101,2020-12-10,0.06,0.888,0.052,-0.0772,-1
102,2020-12-10,0.0,0.851,0.149,0.4215,1
103,2020-12-10,0.0,1.0,0.0,0.0,0
104,2020-12-10,0.0,0.828,0.172,0.8519,1
105,2020-12-10,0.089,0.911,0.0,-0.4648,-1
106,2020-12-10,0.089,0.911,0.0,-0.4648,-1
107,2020-12-10,0.079,0.701,0.22,0.8516,1
108,2020-12-10,0.0,1.0,0.0,0.0,0
109,2020-12-10,0.215,0.785,0.0,-0.7696,-1
110,2020-12-10,0.035,0.816,0.149,0.7325,1
111,2020-12-10,0.0,1.0,0.0,0.0,0
112,2020-12-10,0.0,1.0,0.0,0.0,0
113,2020-12-10,0.0,1.0,0.0,0.0,0
114,2020-12-10,0.0,0.899,0.101,0.5719,1
115,2020-12-10,0.059,0.829,0.112,0.296,1
116,2020-12-10,0.0,0.877,0.123,0.5983,1
117,2020-12-10,0.078,0.814,0.108,0.4019,1
118,2020-12-10,0.0,1.0,0.0,0.0,0
119,2020-12-10,0.0,0.741,0.259,0.4201,1
120,2020-12-10,0.078,0.814,0.108,0.4019,1
121,2020-12-10,0.0,0.921,0.079,0.34,1
122,2020-12-10,0.134,0.866,0.0,-0.4767,-1
123,2020-12-10,0.0,0.926,0.074,0.4497,1
124,2020-12-10,0.0,0.926,0.074,0.4497,1
125,2020-12-10,0.078,0.814,0.108,0.4019,1
126,2020-12-10,0.0,1.0,0.0,0.0,0
127,2020-12-10,0.0,1.0,0.0,0.0,0
128,2020-12-10,0.0,0.893,0.107,0.4588,1
129,2020-12-10,0.0,1.0,0.0,0.0,0
130,2020-12-10,0.186,0.775,0.039,-0.7717,-1
131,2020-12-10,0.0,1.0,0.0,0.0,0
132,2020-12-10,0.0,0.95,0.05,0.2263,1
133,2020-12-10,0.0,1.0,0.0,0.0,0
134,2020-12-10,0.0,0.849,0.151,0.5859,1
135,2020-12-10,0.0,1.0,0.0,0.0,0
136,2020-12-10,0.048,0.798,0.154,0.5574,1
137,2020-12-10,0.0,0.785,0.215,0.2944,1
138,2020-12-10,0.0,1.0,0.0,0.0,0
139,2020-12-10,0.048,0.798,0.154,0.5574,1
140,2020-12-10,0.0,1.0,0.0,0.0,0
141,2020-12-10,0.0,0.899,0.101,0.2263,1
142,2020-12-10,0.0,1.0,0.0,0.0,0
143,2020-12-10,0.0,1.0,0.0,0.0,0
144,2020-12-10,0.0,1.0,0.0,0.0,0
145,2020-12-10,0.0,1.0,0.0,0.0,0
146,2020-12-10,0.0,0.885,0.115,0.4588,1
147,2020-12-10,0.0,0.957,0.043,0.296,1
148,2020-12-10,0.0,0.925,0.075,0.3802,1
149,2020-12-10,0.0,1.0,0.0,0.0,0
150,2020-12-10,0.0,0.904,0.096,0.6037,1
151,2020-12-10,0.0,0.957,0.043,0.296,1
152,2020-12-10,0.0,0.791,0.209,0.4404,1
153,2020-12-10,0.0,0.861,0.139,0.4404,1
154,2020-12-10,0.066,0.891,0.042,-0.2577,-1
155,2020-12-10,0.0,1.0,0.0,0.0,0
156,2020-12-10,0.0,1.0,0.0,0.0,0
157,2020-12-10,0.0,0.811,0.189,0.7424,1
158,2020-12-10,0.0,0.589,0.411,0.5983,1
159,2020-12-10,0.0,0.95,0.05,0.2263,1
160,2020-12-10,0.131,0.869,0.0,-0.6808,-1
161,2020-12-10,0.0,0.829,0.171,0.611,1
162,2020-12-10,0.0,0.95,0.05,0.2263,1
163,2020-12-10,0.07,0.93,0.0,-0.4588,-1
164,2020-12-10,0.0,0.95,0.05,0.2263,1
165,2020-12-10,0.07,0.93,0.0,-0.4588,-1
166,2020-12-10,0.0,0.95,0.05,0.2263,1
167,2020-12-10,0.0,1.0,0.0,0.0,0
168,2020-12-10,0.066,0.891,0.042,-0.2577,-1
169,2020-12-10,0.0,0.95,0.05,0.2263,1
170,2020-12-10,0.0,1.0,0.0,0.0,0
171,2020-12-10,0.0,0.934,0.066,0.2263,1
172,2020-12-10,0.0,0.934,0.066,0.2263,1
173,2020-12-10,0.0,0.95,0.05,0.2263,1
174,2020-12-10,0.052,0.865,0.083,0.2263,1
175,2020-12-10,0.0,0.957,0.043,0.2023,1
176,2020-12-10,0.088,0.852,0.06,-0.2263,-1
177,2020-12-10,0.0,0.741,0.259,0.6794,1
178,2020-12-10,0.0,0.941,0.059,0.34,1
179,2020-12-10,0.0,0.941,0.059,0.34,1
180,2020-12-10,0.0,0.941,0.059,0.34,1
181,2020-12-10,0.0,1.0,0.0,0.0,0
182,2020-12-10,0.0,1.0,0.0,0.0,0
183,2020-12-10,0.0,1.0,0.0,0.0,0
184,2020-12-10,0.0,0.934,0.066,0.4404,1
185,2020-12-10,0.0,0.934,0.066,0.4404,1
186,2020-12-10,0.0,0.934,0.066,0.4404,1
187,2020-12-10,0.0,0.789,0.211,0.34,1
188,2020-12-10,0.075,0.82,0.106,0.2867,1
189,2020-12-10,0.0,0.815,0.185,0.7089,1
190,2020-12-10,0.0,0.815,0.185,0.7089,1
191,2020-12-10,0.0,0.815,0.185,0.7089,1
192,2020-12-09,0.0,0.929,0.071,0.2263,1
193,2020-12-09,0.268,0.732,0.0,-0.5106,-1
194,2020-12-09,0.0,0.905,0.095,0.2263,1
195,2020-12-09,0.0,0.917,0.083,0.2263,1
196,2020-12-09,0.0,0.815,0.185,0.7089,1
197,2020-12-09,0.199,0.598,0.204,0.0772,1
198,2020-12-09,0.106,0.894,0.0,-0.4939,-1
199,2020-12-09,0.0,1.0,0.0,0.0,0
200,2020-12-09,0.0,1.0,0.0,0.0,0
201,2020-12-09,0.0,0.843,0.157,0.4767,1
202,2020-12-09,0.0,1.0,0.0,0.0,0
203,2020-12-09,0.0,0.885,0.115,0.296,1
204,2020-12-09,0.0,0.879,0.121,0.296,1
205,2020-12-09,0.07,0.93,0.0,-0.128,-1
206,2020-12-09,0.07,0.93,0.0,-0.128,-1
207,2020-12-09,0.0,1.0,0.0,0.0,0
208,2020-12-09,0.0,1.0,0.0,0.0,0
209,2020-12-09,0.0,1.0,0.0,0.0,0
210,2020-12-09,0.0,1.0,0.0,0.0,0
211,2020-12-09,0.0,1.0,0.0,0.0,0
212,2020-12-09,0.0,1.0,0.0,0.0,0
213,2020-12-09,0.0,1.0,0.0,0.0,0
214,2020-12-09,0.0,1.0,0.0,0.0,0
215,2020-12-09,0.0,1.0,0.0,0.0,0
216,2020-12-09,0.0,0.931,0.069,0.3839,1
217,2020-12-09,0.0,0.909,0.091,0.296,1
218,2020-12-09,0.0,0.707,0.293,0.8442,1
219,2020-12-09,0.066,0.891,0.042,-0.2577,-1
220,2020-12-09,0.0,0.954,0.046,0.2023,1
221,2020-12-09,0.0,0.954,0.046,0.2023,1
222,2020-12-09,0.091,0.909,0.0,-0.5894,-1
223,2020-12-09,0.0,0.896,0.104,0.5413,1
224,2020-12-09,0.0,0.769,0.231,0.5859,1
225,2020-12-08,0.075,0.82,0.106,0.2867,1
226,2020-12-08,0.106,0.894,0.0,-0.4939,-1
227,2020-12-08,0.0,1.0,0.0,0.0,0
228,2020-12-08,0.068,0.815,0.117,0.2638,1
229,2020-12-08,0.0,1.0,0.0,0.0,0
230,2020-12-08,0.0,1.0,0.0,0.0,0
231,2020-12-08,0.0,1.0,0.0,0.0,0
232,2020-12-08,0.068,0.815,0.117,0.2638,1
233,2020-12-08,0.128,0.828,0.043,-0.6486,-1
234,2020-12-08,0.0,0.889,0.111,0.4588,1
235,2020-12-08,0.055,0.775,0.169,0.6334,1
236,2020-12-08,0.066,0.891,0.042,-0.2577,-1
237,2020-12-08,0.0,0.896,0.104,0.2732,1
238,2020-12-08,0.0,0.82,0.18,0.296,1
239,2020-12-08,0.041,0.959,0.0,-0.296,-1
240,2020-12-08,0.0,0.592,0.408,0.7835,1
241,2020-12-07,0.0,0.95,0.05,0.4019,1
242,2020-12-07,0.0,1.0,0.0,0.0,0
243,2020-12-07,0.0,0.828,0.172,0.3612,1
244,2020-12-07,0.0,1.0,0.0,0.0,0
245,2020-12-07,0.0,0.853,0.147,0.8316,1
246,2020-12-07,0.0,0.882,0.118,0.743,1
247,2020-12-07,0.0,0.882,0.118,0.743,1
248,2020-12-07,0.0,0.882,0.118,0.743,1
249,2020-12-07,0.0,0.877,0.123,0.5983,1
250,2020-12-07,0.128,0.872,0.0,-0.2263,-1
251,2020-12-07,0.0,1.0,0.0,0.0,0
252,2020-12-07,0.0,0.948,0.052,0.2023,1
253,2020-12-07,0.0,0.679,0.321,0.6369,1
254,2020-12-07,0.0,0.909,0.091,0.34,1
255,2020-12-07,0.0,1.0,0.0,0.0,0
256,2020-12-07,0.0,0.879,0.121,0.296,1
257,2020-12-07,0.0,0.732,0.268,0.296,1
258,2020-12-07,0.0,1.0,0.0,0.0,0
259,2020-12-07,0.0,1.0,0.0,0.0,0
260,2020-12-07,0.0,0.676,0.324,0.802,1
261,2020-12-07,0.066,0.891,0.042,-0.2577,-1
262,2020-12-07,0.0,0.675,0.325,0.9601,1
263,2020-12-07,0.0,0.786,0.214,0.4588,1
264,2020-12-07,0.0,1.0,0.0,0.0,0
265,2020-12-07,0.0,0.882,0.118,0.743,1
266,2020-12-07,0.0,0.649,0.351,0.7964,1
267,2020-12-07,0.0,0.795,0.205,0.4754,1
268,2020-12-07,0.0,0.882,0.118,0.743,1
269,2020-12-07,0.0,0.861,0.139,0.4404,1
270,2020-12-07,0.0,1.0,0.0,0.0,0
271,2020-12-06,0.0,1.0,0.0,0.0,0
272,2020-12-06,0.0,0.862,0.138,0.8338,1
273,2020-12-06,0.0,0.85,0.15,0.8506,1
274,2020-12-06,0.028,0.789,0.182,0.8316,1
275,2020-12-06,0.0,0.865,0.135,0.6369,1
276,2020-12-06,0.0,1.0,0.0,0.0,0
277,2020-12-06,0.0,1.0,0.0,0.0,0
278,2020-12-06,0.028,0.789,0.182,0.8316,1
279,2020-12-06,0.0,1.0,0.0,0.0,0
280,2020-12-06,0.0,1.0,0.0,0.0,0
281,2020-12-05,0.0,0.918,0.082,0.1779,1
282,2020-12-05,0.0,1.0,0.0,0.0,0
283,2020-12-05,0.0,1.0,0.0,0.0,0
284,2020-12-05,0.0,0.95,0.05,0.2023,1
285,2020-12-05,0.0,0.95,0.05,0.2023,1
286,2020-12-05,0.093,0.698,0.209,0.5423,1
287,2020-12-05,0.0,0.947,0.053,0.2263,1
288,2020-12-05,0.036,0.811,0.152,0.6486,1
289,2020-12-05,0.033,0.939,0.028,-0.0516,-1
290,2020-12-05,0.0,1.0,0.0,0.0,0
291,2020-12-05,0.0,1.0,0.0,0.0,0
